,date,symbol,side,quantity,price,cost
0,2024-07-11 04:00:00+00:00,SPY,SHORT,21.92890079016973,551.2590942382812,12106.638746210941
1,2024-07-11 04:00:00+00:00,QQQ,LONG,18.55560041906193,489.7185363769531,9100.652011036815
2,2024-07-12 04:00:00+00:00,SPY,BUY,21.92890079016973,554.7361450195312,12183.00101968779
3,2024-07-12 04:00:00+00:00,QQQ,SELL,18.55560041906193,492.5955505371094,9154.116813280389
4,2024-07-15 04:00:00+00:00,IWM,SHORT,36.60956984736765,215.32745361328125,7894.870021290905
5,2024-07-15 04:00:00+00:00,VNQ,LONG,110.85960860205493,85.59866333007812,9503.66846510198
6,2024-07-17 04:00:00+00:00,SPY,SHORT,20.705781007555768,551.71484375,11440.822263405307
7,2024-07-17 04:00:00+00:00,QQQ,LONG,17.51620478205017,479.6041870117188,8413.446421756993
8,2024-07-18 04:00:00+00:00,IWM,BUY,36.60956984736765,216.08091735839844,7922.495380870639
9,2024-07-18 04:00:00+00:00,VNQ,SELL,110.85960860205493,86.4736099243164,9600.810196442413
10,2024-07-18 04:00:00+00:00,SPY,BUY,20.705781007555768,547.4749145507812,11352.899531350511
11,2024-07-18 04:00:00+00:00,QQQ,SELL,17.51620478205017,477.33447265625,8373.630005137671
12,2024-07-24 04:00:00+00:00,SPY,SHORT,20.386143446069962,536.1521606445312,10946.469968103489
13,2024-07-24 04:00:00+00:00,QQQ,LONG,16.869795300329063,461.296875,7793.65682971238
14,2024-07-25 04:00:00+00:00,SPY,BUY,20.386143446069962,533.358642578125,10889.435484492513
15,2024-07-25 04:00:00+00:00,QQQ,SELL,16.869795300329063,456.2098388671875,7707.710845579088
16,2024-07-31 04:00:00+00:00,SPY,LONG,19.927133683204477,545.642333984375,10889.397364121129
17,2024-07-31 04:00:00+00:00,QQQ,SHORT,15.910388466466403,468.9523010253906,7472.405101479591
18,2024-08-01 04:00:00+00:00,QQQ,BUY,15.910388466466403,457.5935974121094,7291.412632436388
19,2024-08-01 04:00:00+00:00,EFA,LONG,140.94976257528137,77.17838287353516,10894.592154081894
20,2024-08-02 04:00:00+00:00,SPY,SELL,19.927133683204477,527.900390625,10535.32096788334
21,2024-08-02 04:00:00+00:00,EFA,SELL,140.94976257528137,75.96491241455078,10723.2972234363
22,2024-08-07 04:00:00+00:00,SPY,LONG,20.845054221500916,513.7938842773438,10726.126468501452
23,2024-08-07 04:00:00+00:00,EEM,SHORT,266.2804573868451,40.22098159790039,10726.126468501452
24,2024-08-08 04:00:00+00:00,SPY,SELL,20.845054221500916,525.6714477539062,10974.08630587175
25,2024-08-08 04:00:00+00:00,EEM,BUY,266.2804573868451,41.13554000854492,10970.020793942704
26,2024-09-11 04:00:00+00:00,SPY,LONG,19.675620464907624,549.2183837890625,10822.421790491242
27,2024-09-11 04:00:00+00:00,QQQ,SHORT,16.124453248201707,466.5133056640625,7533.555394824474
28,2024-09-12 04:00:00+00:00,SPY,SELL,19.675620464907624,553.8446655273438,10913.583291582867
29,2024-09-12 04:00:00+00:00,QQQ,BUY,16.124453248201707,471.0926513671875,7607.505599690414
30,2024-09-24 04:00:00+00:00,EFA,LONG,132.23103028482862,81.94345092773438,10851.720141680516
31,2024-09-24 04:00:00+00:00,EEM,SHORT,229.42607599703967,44.77410888671875,10287.756630306283
32,2024-09-24 04:00:00+00:00,SPY,LONG,19.087417446984137,567.6759033203125,10851.720141680516
33,2024-09-24 04:00:00+00:00,QQQ,LONG,15.903531370485922,483.8670043945313,7706.736874656775
34,2024-09-25 04:00:00+00:00,EFA,SELL,132.23103028482862,81.49949645996094,10792.92752817227
35,2024-09-25 04:00:00+00:00,EEM,BUY,229.42607599703967,44.30207824707031,10179.298048695262
36,2024-09-25 04:00:00+00:00,SPY,SELL,19.087417446984137,566.4239501953125,10827.787744931704
37,2024-09-25 04:00:00+00:00,QQQ,SELL,15.903531370485922,484.3156433105469,7713.882520146261
38,2024-09-26 04:00:00+00:00,EFA,SHORT,130.80104328412014,83.29503631591797,10911.420266986512
39,2024-09-26 04:00:00+00:00,EEM,SHORT,211.34658574023118,45.924686431884766,9720.58471708742
40,2024-09-26 04:00:00+00:00,SPY,LONG,19.158888272860512,568.6696166992188,10911.42026698651
41,2024-09-26 04:00:00+00:00,DIA,LONG,26.071203114081285,417.8970031738281,10911.42026698651
42,2024-09-26 04:00:00+00:00,QQQ,LONG,16.159732510761536,487.954345703125,7897.039521582202
43,2024-09-27 04:00:00+00:00,EFA,BUY,130.80104328412014,82.79188537597656,10845.508880110978
44,2024-09-27 04:00:00+00:00,EEM,BUY,211.34658574023118,45.836181640625,9701.851473854833
45,2024-09-27 04:00:00+00:00,SPY,SELL,19.158888272860512,567.8448486328125,10895.594925292356
46,2024-09-27 04:00:00+00:00,DIA,SELL,26.071203114081285,419.21527099609375,10945.840648381785
47,2024-09-27 04:00:00+00:00,QQQ,SELL,16.159732510761536,485.2427368164063,7853.1549189876
48,2024-09-30 04:00:00+00:00,EFA,SHORT,132.24741263553562,82.50578308105469,10927.54310444814
49,2024-09-30 04:00:00+00:00,EEM,LONG,213.41752963592253,45.0986328125,9639.276063008509
50,2024-09-30 04:00:00+00:00,SPY,SHORT,19.138373368248207,570.120361328125,10927.54310444814
51,2024-09-30 04:00:00+00:00,QQQ,SHORT,16.320057267598294,486.55865478515625,7952.576107804548
52,2024-10-01 04:00:00+00:00,SPY,BUY,19.138373368248207,565.012939453125,10829.64873603504
53,2024-10-02 04:00:00+00:00,QQQ,BUY,16.320057267598294,480.4576110839844,7852.85737113541
