Date,SPY,QQQ,IWM,DIA,EFA,EEM,TLT,GLD,VNQ,XLE
2024-06-17 00:00:00-04:00,540.2242431640625,482.1131286621094,198.68142700195312,383.79742431640625,77.08958435058594,41.79441452026367,89.93120574951172,214.61000061035156,80.34185028076172,85.46048736572266
2024-06-18 00:00:00-04:00,541.5968627929688,482.26220703125,199.02842712402344,384.35052490234375,77.39541625976562,42.177940368652344,90.75634765625,215.47000122070312,80.65872192382812,85.81871032714844
2024-06-20 00:00:00-04:00,540.1255493164062,478.5449523925781,198.18569946289062,387.24444580078125,77.44474792480469,42.10910415649414,90.1518783569336,218.16000366210938,80.42828369140625,87.39683532714844
2024-06-21 00:00:00-04:00,539.4014282226562,477.26275634765625,198.63186645507812,387.386962890625,76.90213775634766,41.96159362792969,90.1518783569336,214.77999877929688,80.62992095947266,86.89338684082031
2024-06-24 00:00:00-04:00,537.6480102539062,471.8293151855469,199.49440002441406,390.0003662109375,77.51380920410156,41.96159362792969,90.51646423339844,215.6300048828125,81.25407409667969,89.08438110351562
2024-06-25 00:00:00-04:00,539.7183837890625,477.2249450683594,198.84005737304688,387.0701904296875,77.70125579833984,41.86325454711914,90.66999053955078,214.55999755859375,80.25543975830078,89.2893295288086
2024-06-26 00:00:00-04:00,540.3920288085938,478.2104797363281,198.31460571289062,387.2879943847656,77.1290512084961,41.77474594116211,89.37470245361328,212.5800018310547,80.00578308105469,88.41097259521484
2024-06-27 00:00:00-04:00,541.2439575195312,479.4449157714844,200.3271942138672,387.60479736328125,77.18824005126953,41.80424880981445,89.72969818115234,214.99000549316406,80.78355407714844,88.61593627929688
2024-06-28 00:00:00-04:00,539.1141357421875,476.9561462402344,201.1500701904297,387.1791076660156,77.27703857421875,41.8829231262207,88.06021881103516,215.00999450683594,81.42810821533203,88.95751190185547
2024-07-01 00:00:00-04:00,540.2236328125,479.7535400390625,199.46466064453125,387.50579833984375,77.41515350341797,41.981258392333984,86.54041290283203,215.57000732421875,80.66010284423828,89.00630950927734
2024-07-02 00:00:00-04:00,543.8592529296875,484.790771484375,200.1487274169922,389.31732177734375,77.60260009765625,42.10910415649414,87.21416473388672,215.55999755859375,81.03923797607422,88.93798828125
2024-07-03 00:00:00-04:00,546.2861938476562,488.8325500488281,200.0991668701172,388.8619079589844,78.49049377441406,42.72864532470703,88.35957336425781,217.99000549316406,80.96147155761719,89.328369140625
2024-07-05 00:00:00-04:00,549.4363403320312,493.92950439453125,199.1473846435547,389.72314453125,79.01337432861328,42.90565490722656,89.09109497070312,220.92999267578125,81.18506622314453,87.9327621459961
2024-07-08 00:00:00-04:00,550.0703735351562,495.10418701171875,200.54531860351562,389.4855651855469,78.6187515258789,42.915489196777344,89.28357696533203,218.19000244140625,81.44754028320312,87.39600372314453
2024-07-09 00:00:00-04:00,550.6053466796875,495.5322570800781,199.6728515625,388.9708251953125,78.30305480957031,43.09250259399414,88.88894653320312,218.55999755859375,81.42810821533203,86.625
2024-07-10 00:00:00-04:00,556.0537109375,500.6989440917969,201.62596130371094,393.2471618652344,79.40799713134766,43.33835220336914,89.16808319091797,219.36000061035156,82.03083801269531,87.2105712890625
2024-07-11 00:00:00-04:00,551.2590942382812,489.7185363769531,208.87326049804688,393.6134338378906,79.6349105834961,43.59403610229492,90.03434753417969,223.25,84.38346862792969,88.11819458007812
2024-07-12 00:00:00-04:00,554.7361450195312,492.5955505371094,211.3121795654297,396.27630615234375,80.48334503173828,43.77104568481445,90.41936492919922,223.11000061035156,85.02508544921875,88.34265899658203
2024-07-15 00:00:00-04:00,556.26171875,493.9195556640625,215.32745361328125,398.295654296875,79.77302551269531,43.3088493347168,89.37984466552734,223.8300018310547,85.59866333007812,89.6797103881836
2024-07-16 00:00:00-04:00,559.5604248046875,494.10870361328125,222.67388916015625,405.52197265625,80.15778350830078,43.5546989440918,90.6407470703125,228.2899932861328,86.64859008789062,90.07984924316406
2024-07-17 00:00:00-04:00,551.71484375,479.60418701171875,220.3440399169922,407.76898193359375,79.73355865478516,42.84665298461914,90.65999603271484,227.22999572753906,87.24161529541016,90.97772216796875
2024-07-18 00:00:00-04:00,547.4749145507812,477.33447265625,216.08091735839844,402.61163330078125,78.9443130493164,42.443458557128906,89.96696472167969,225.77999877929688,86.4736099243164,91.14363861083984
2024-07-19 00:00:00-04:00,543.8394165039062,473.103515625,214.98043823242188,399.07012939453125,78.46089935302734,42.030433654785156,89.43759155273438,221.72999572753906,86.31806945800781,90.1481704711914
2024-07-22 00:00:00-04:00,549.4463500976562,480.1517333984375,218.40086364746094,400.2585144042969,79.28961181640625,42.38445281982422,89.1777114868164,221.8000030517578,87.21244812011719,89.58211517333984
2024-07-23 00:00:00-04:00,548.5844116210938,478.4593811035156,220.72080993652344,399.6048583984375,78.84565734863281,42.010765075683594,89.05257415771484,222.5800018310547,87.14440155029297,88.15723419189453
2024-07-24 00:00:00-04:00,536.1521606445312,461.296875,215.98179626464844,394.831298828125,77.8492431640625,41.40105438232422,88.09005737304688,221.8000030517578,85.86115264892578,88.1669921875
2024-07-25 00:00:00-04:00,533.358642578125,456.2098388671875,218.678466796875,395.64337158203125,77.35596466064453,41.23387908935547,88.81195831298828,218.3300018310547,85.57921600341797,89.6894760131836
2024-07-26 00:00:00-04:00,539.3320922851562,460.88873291015625,222.29714965820312,402.06103515625,78.34252166748047,41.656742095947266,89.50496673583984,220.6300048828125,87.07634735107422,89.97249603271484
